Nutrition,Unit,NutritionPer100 (g),NutritionValue,Food code
Protein (g),g,2.84,2.84,73201020
Carbohydrate (g),g,9.25,9.25,73201020
Total Fat (g),g,0.46,0.46,73201020
"Fiber, total dietary (g)",g,3.84,3.84,73201020
Energy (kcal),kcal,52.5,52.5,73201020
Protein (g),g,2.07,2.07,73302010
Carbohydrate (g),g,7.54,7.54,73302010
Total Fat (g),g,0.47,0.47,73302010
"Fiber, total dietary (g)",g,4.45,4.45,73302010
Energy (kcal),kcal,42.7,42.7,73302010
Protein (g),g,1.87,1.87,73303010
Carbohydrate (g),g,8.17,8.17,73303010
Total Fat (g),g,0.36,0.36,73303010
"Fiber, total dietary (g)",g,2.92,2.92,73303010
Energy (kcal),kcal,43.4,43.4,73303010
Protein (g),g,2.51,2.51,73303020
Carbohydrate (g),g,8.51,8.51,73303020
Total Fat (g),g,0.28,0.28,73303020
"Fiber, total dietary (g)",g,4.09,4.09,73303020
Energy (kcal),kcal,46.6,46.6,73303020
Protein (g),g,2.98,2.98,73305020
Carbohydrate (g),g,10.23,10.23,73305020
Total Fat (g),g,0.32,0.32,73305020
"Fiber, total dietary (g)",g,3.7,3.7,73305020
Energy (kcal),kcal,55.7,55.7,73305020
Protein (g),g,2.39,2.39,73401000
Carbohydrate (g),g,7.21,7.21,73401000
Total Fat (g),g,0.42,0.42,73401000
"Fiber, total dietary (g)",g,4.09,4.09,73401000
Energy (kcal),kcal,42.2,42.2,73401000
Protein (g),g,1.78,1.78,73403000
Carbohydrate (g),g,10.25,10.25,73403000
Total Fat (g),g,0.47,0.47,73403000
"Fiber, total dietary (g)",g,4.03,4.03,73403000
Energy (kcal),kcal,52.3,52.3,73403000
Protein (g),g,2.89,2.89,73403010
Carbohydrate (g),g,7.47,7.47,73403010
Total Fat (g),g,0.46,0.46,73403010
"Fiber, total dietary (g)",g,3.26,3.26,73403010
Energy (kcal),kcal,45.6,45.6,73403010
Protein (g),g,3.1,3.1,73403020
Carbohydrate (g),g,6.45,6.45,73403020
Total Fat (g),g,0.35,0.35,73403020
"Fiber, total dietary (g)",g,3.61,3.61,73403020
Energy (kcal),kcal,41.4,41.4,73403020
Protein (g),g,2.23,2.23,73405000
Carbohydrate (g),g,7.64,7.64,73405000
Total Fat (g),g,0.4,0.4,73405000
"Fiber, total dietary (g)",g,4.25,4.25,73405000
Energy (kcal),kcal,43.1,43.1,73405000
Protein (g),g,2.53,2.53,73405010
Carbohydrate (g),g,7.34,7.34,73405010
Total Fat (g),g,0.34,0.34,73405010
"Fiber, total dietary (g)",g,3.31,3.31,73405010
Energy (kcal),kcal,42.5,42.5,73405010
Protein (g),g,2.52,2.52,73405020
Carbohydrate (g),g,9.18,9.18,73405020
Total Fat (g),g,0.31,0.31,73405020
"Fiber, total dietary (g)",g,2.92,2.92,73405020
Energy (kcal),kcal,49.6,49.6,73405020
Protein (g),g,2.32,2.32,73406000
Carbohydrate (g),g,7.33,7.33,73406000
Total Fat (g),g,0.37,0.37,73406000
"Fiber, total dietary (g)",g,4.12,4.12,73406000
Energy (kcal),kcal,41.9,41.9,73406000
Protein (g),g,2.24,2.24,73407000
Carbohydrate (g),g,8.01,8.01,73407000
Total Fat (g),g,0.43,0.43,73407000
"Fiber, total dietary (g)",g,2.94,2.94,73407000
Energy (kcal),kcal,44.9,44.9,73407000
Protein (g),g,2.83,2.83,73407050
Carbohydrate (g),g,8.23,8.23,73407050
Total Fat (g),g,0.39,0.39,73407050
"Fiber, total dietary (g)",g,4.15,4.15,73407050
Energy (kcal),kcal,47.8,47.8,73407050
Protein (g),g,2.12,2.12,73407060
Carbohydrate (g),g,9.84,9.84,73407060
Total Fat (g),g,0.41,0.41,73407060
"Fiber, total dietary (g)",g,3.73,3.73,73407060
Energy (kcal),kcal,51.5,51.5,73407060
Protein (g),g,3.06,3.06,73409000
Carbohydrate (g),g,9.52,9.52,73409000
Total Fat (g),g,0.42,0.42,73409000
"Fiber, total dietary (g)",g,4.03,4.03,73409000
Energy (kcal),kcal,54.1,54.1,73409000
Protein (g),g,2.4,2.4,73410200
Carbohydrate (g),g,8.23,8.23,73410200
Total Fat (g),g,0.29,0.29,73410200
"Fiber, total dietary (g)",g,2.64,2.64,73410200
Energy (kcal),kcal,45.1,45.1,73410200
Protein (g),g,2.99,2.99,73410210
Carbohydrate (g),g,5.89,5.89,73410210
Total Fat (g),g,0.32,0.32,73410210
"Fiber, total dietary (g)",g,4.12,4.12,73410210
Energy (kcal),kcal,38.4,38.4,73410210
Protein (g),g,1.75,1.75,73410320
Carbohydrate (g),g,6.96,6.96,73410320
Total Fat (g),g,0.42,0.42,73410320
"Fiber, total dietary (g)",g,3.7,3.7,73410320
Energy (kcal),kcal,38.6,38.6,73410320
Protein (g),g,2.92,2.92,73410340
Carbohydrate (g),g,8.03,8.03,73410340
Total Fat (g),g,0.4,0.4,73410340
"Fiber, total dietary (g)",g,3.97,3.97,73410340
Energy (kcal),kcal,47.4,47.4,73410340
Protein (g),g,2.5,2.5,73410400
Carbohydrate (g),g,8.52,8.52,73410400
Total Fat (g),g,0.5,0.5,73410400
"Fiber, total dietary (g)",g,3.29,3.29,73410400
Energy (kcal),kcal,48.6,48.6,73410400
Protein (g),g,2.33,2.33,73410500
Carbohydrate (g),g,5.62,5.62,73410500
Total Fat (g),g,0.43,0.43,73410500
"Fiber, total dietary (g)",g,2.51,2.51,73410500
Energy (kcal),kcal,35.7,35.7,73410500
Protein (g),g,2.51,2.51,73420020
Carbohydrate (g),g,9.46,9.46,73420020
Total Fat (g),g,0.41,0.41,73420020
"Fiber, total dietary (g)",g,3.02,3.02,73420020
Energy (kcal),kcal,51.6,51.6,73420020
Protein (g),g,2.93,2.93,73420100
Carbohydrate (g),g,6.89,6.89,73420100
Total Fat (g),g,0.46,0.46,73420100
"Fiber, total dietary (g)",g,3.73,3.73,73420100
Energy (kcal),kcal,43.4,43.4,73420100
Protein (g),g,2.0,2.0,73420200
Carbohydrate (g),g,9.94,9.94,73420200
Total Fat (g),g,0.33,0.33,73420200
"Fiber, total dietary (g)",g,4.53,4.53,73420200
Energy (kcal),kcal,50.7,50.7,73420200
Protein (g),g,1.76,1.76,73502000
Carbohydrate (g),g,6.86,6.86,73502000
Total Fat (g),g,0.33,0.33,73502000
"Fiber, total dietary (g)",g,2.48,2.48,73502000
Energy (kcal),kcal,37.5,37.5,73502000
Protein (g),g,2.85,2.85,74101000
Carbohydrate (g),g,8.93,8.93,74101000
Total Fat (g),g,0.47,0.47,74101000
"Fiber, total dietary (g)",g,2.99,2.99,74101000
Energy (kcal),kcal,51.3,51.3,74101000
Protein (g),g,2.42,2.42,74201000
Carbohydrate (g),g,8.76,8.76,74201000
Total Fat (g),g,0.39,0.39,74201000
"Fiber, total dietary (g)",g,3.91,3.91,74201000
Energy (kcal),kcal,48.2,48.2,74201000
Protein (g),g,2.7,2.7,74201001
Carbohydrate (g),g,6.15,6.15,74201001
Total Fat (g),g,0.47,0.47,74201001
"Fiber, total dietary (g)",g,3.96,3.96,74201001
Energy (kcal),kcal,39.6,39.6,74201001
Protein (g),g,2.73,2.73,74201003
Carbohydrate (g),g,6.34,6.34,74201003
Total Fat (g),g,0.34,0.34,74201003
"Fiber, total dietary (g)",g,3.28,3.28,74201003
Energy (kcal),kcal,39.3,39.3,74201003
Protein (g),g,2.17,2.17,74203010
Carbohydrate (g),g,6.69,6.69,74203010
Total Fat (g),g,0.47,0.47,74203010
"Fiber, total dietary (g)",g,3.79,3.79,74203010
Energy (kcal),kcal,39.7,39.7,74203010
Protein (g),g,2.6,2.6,74204500
Carbohydrate (g),g,6.68,6.68,74204500
Total Fat (g),g,0.5,0.5,74204500
"Fiber, total dietary (g)",g,2.85,2.85,74204500
Energy (kcal),kcal,41.6,41.6,74204500
Protein (g),g,2.94,2.94,74205010
Carbohydrate (g),g,10.24,10.24,74205010
Total Fat (g),g,0.45,0.45,74205010
"Fiber, total dietary (g)",g,4.54,4.54,74205010
Energy (kcal),kcal,56.8,56.8,74205010
Protein (g),g,2.73,2.73,74205020
Carbohydrate (g),g,6.64,6.64,74205020
Total Fat (g),g,0.33,0.33,74205020
"Fiber, total dietary (g)",g,3.13,3.13,74205020
Energy (kcal),kcal,40.4,40.4,74205020
Protein (g),g,1.76,1.76,74206000
Carbohydrate (g),g,8.87,8.87,74206000
Total Fat (g),g,0.34,0.34,74206000
"Fiber, total dietary (g)",g,4.16,4.16,74206000
Energy (kcal),kcal,45.6,45.6,74206000
Protein (g),g,2.29,2.29,74301100
Carbohydrate (g),g,7.9,7.9,74301100
Total Fat (g),g,0.51,0.51,74301100
"Fiber, total dietary (g)",g,2.96,2.96,74301100
Energy (kcal),kcal,45.4,45.4,74301100
Protein (g),g,2.83,2.83,74301150
Carbohydrate (g),g,9.22,9.22,74301150
Total Fat (g),g,0.33,0.33,74301150
"Fiber, total dietary (g)",g,3.5,3.5,74301150
Energy (kcal),kcal,51.2,51.2,74301150
Protein (g),g,2.28,2.28,74302000
Carbohydrate (g),g,9.31,9.31,74302000
Total Fat (g),g,0.43,0.43,74302000
"Fiber, total dietary (g)",g,3.45,3.45,74302000
Energy (kcal),kcal,50.2,50.2,74302000
Protein (g),g,2.92,2.92,74303000
Carbohydrate (g),g,6.73,6.73,74303000
Total Fat (g),g,0.46,0.46,74303000
"Fiber, total dietary (g)",g,4.27,4.27,74303000
Energy (kcal),kcal,42.7,42.7,74303000
Protein (g),g,3.07,3.07,74303100
Carbohydrate (g),g,9.36,9.36,74303100
Total Fat (g),g,0.38,0.38,74303100
"Fiber, total dietary (g)",g,4.51,4.51,74303100
Energy (kcal),kcal,53.1,53.1,74303100
Protein (g),g,2.32,2.32,74401010
Carbohydrate (g),g,8.67,8.67,74401010
Total Fat (g),g,0.32,0.32,74401010
"Fiber, total dietary (g)",g,4.51,4.51,74401010
Energy (kcal),kcal,46.8,46.8,74401010
Protein (g),g,2.81,2.81,74401110
Carbohydrate (g),g,9.22,9.22,74401110
Total Fat (g),g,0.3,0.3,74401110
"Fiber, total dietary (g)",g,4.05,4.05,74401110
Energy (kcal),kcal,50.8,50.8,74401110
Protein (g),g,2.91,2.91,74402010
Carbohydrate (g),g,8.82,8.82,74402010
Total Fat (g),g,0.35,0.35,74402010
"Fiber, total dietary (g)",g,3.48,3.48,74402010
Energy (kcal),kcal,50.1,50.1,74402010
Protein (g),g,1.92,1.92,74402100
Carbohydrate (g),g,7.86,7.86,74402100
Total Fat (g),g,0.34,0.34,74402100
"Fiber, total dietary (g)",g,3.18,3.18,74402100
Energy (kcal),kcal,42.2,42.2,74402100
Protein (g),g,1.99,1.99,74402110
Carbohydrate (g),g,6.7,6.7,74402110
Total Fat (g),g,0.3,0.3,74402110
"Fiber, total dietary (g)",g,4.38,4.38,74402110
Energy (kcal),kcal,37.5,37.5,74402110
Protein (g),g,2.55,2.55,74402150
Carbohydrate (g),g,7.5,7.5,74402150
Total Fat (g),g,0.41,0.41,74402150
"Fiber, total dietary (g)",g,3.77,3.77,74402150
Energy (kcal),kcal,43.9,43.9,74402150
Protein (g),g,3.13,3.13,74402200
Carbohydrate (g),g,6.46,6.46,74402200
Total Fat (g),g,0.35,0.35,74402200
"Fiber, total dietary (g)",g,4.5,4.5,74402200
Energy (kcal),kcal,41.5,41.5,74402200
Protein (g),g,2.31,2.31,74402210
Carbohydrate (g),g,5.71,5.71,74402210
Total Fat (g),g,0.32,0.32,74402210
"Fiber, total dietary (g)",g,2.51,2.51,74402210
Energy (kcal),kcal,35.0,35.0,74402210
Protein (g),g,3.23,3.23,74402250
Carbohydrate (g),g,6.94,6.94,74402250
Total Fat (g),g,0.5,0.5,74402250
"Fiber, total dietary (g)",g,4.54,4.54,74402250
Energy (kcal),kcal,45.2,45.2,74402250
Protein (g),g,2.65,2.65,74402260
Carbohydrate (g),g,5.76,5.76,74402260
Total Fat (g),g,0.3,0.3,74402260
"Fiber, total dietary (g)",g,3.46,3.46,74402260
Energy (kcal),kcal,36.3,36.3,74402260
Protein (g),g,2.36,2.36,74402350
Carbohydrate (g),g,8.51,8.51,74402350
Total Fat (g),g,0.39,0.39,74402350
"Fiber, total dietary (g)",g,4.41,4.41,74402350
Energy (kcal),kcal,47.0,47.0,74402350
Protein (g),g,2.55,2.55,74403000
Carbohydrate (g),g,8.93,8.93,74403000
Total Fat (g),g,0.5,0.5,74403000
"Fiber, total dietary (g)",g,2.76,2.76,74403000
Energy (kcal),kcal,50.4,50.4,74403000
Protein (g),g,2.09,2.09,74404010
Carbohydrate (g),g,6.12,6.12,74404010
Total Fat (g),g,0.31,0.31,74404010
"Fiber, total dietary (g)",g,3.53,3.53,74404010
Energy (kcal),kcal,35.6,35.6,74404010
Protein (g),g,2.23,2.23,74404020
Carbohydrate (g),g,7.63,7.63,74404020
Total Fat (g),g,0.52,0.52,74404020
"Fiber, total dietary (g)",g,2.78,2.78,74404020
Energy (kcal),kcal,44.1,44.1,74404020
Protein (g),g,2.56,2.56,74404050
Carbohydrate (g),g,6.07,6.07,74404050
Total Fat (g),g,0.36,0.36,74404050
"Fiber, total dietary (g)",g,3.56,3.56,74404050
Energy (kcal),kcal,37.8,37.8,74404050
Protein (g),g,3.17,3.17,74404060
Carbohydrate (g),g,7.48,7.48,74404060
Total Fat (g),g,0.3,0.3,74404060
"Fiber, total dietary (g)",g,3.27,3.27,74404060
Energy (kcal),kcal,45.3,45.3,74404060
Protein (g),g,1.97,1.97,74404090
Carbohydrate (g),g,6.7,6.7,74404090
Total Fat (g),g,0.43,0.43,74404090
"Fiber, total dietary (g)",g,2.59,2.59,74404090
Energy (kcal),kcal,38.5,38.5,74404090
Protein (g),g,2.45,2.45,74406010
Carbohydrate (g),g,8.53,8.53,74406010
Total Fat (g),g,0.38,0.38,74406010
"Fiber, total dietary (g)",g,2.49,2.49,74406010
Energy (kcal),kcal,47.3,47.3,74406010
Protein (g),g,3.23,3.23,74406060
Carbohydrate (g),g,7.36,7.36,74406060
Total Fat (g),g,0.47,0.47,74406060
"Fiber, total dietary (g)",g,3.13,3.13,74406060
Energy (kcal),kcal,46.6,46.6,74406060
Protein (g),g,2.46,2.46,74406100
Carbohydrate (g),g,7.46,7.46,74406100
Total Fat (g),g,0.36,0.36,74406100
"Fiber, total dietary (g)",g,2.5,2.5,74406100
Energy (kcal),kcal,42.9,42.9,74406100
Protein (g),g,2.29,2.29,74406500
Carbohydrate (g),g,9.87,9.87,74406500
Total Fat (g),g,0.45,0.45,74406500
"Fiber, total dietary (g)",g,2.76,2.76,74406500
Energy (kcal),kcal,52.7,52.7,74406500
Protein (g),g,2.64,2.64,74410110
Carbohydrate (g),g,9.88,9.88,74410110
Total Fat (g),g,0.45,0.45,74410110
"Fiber, total dietary (g)",g,2.76,2.76,74410110
Energy (kcal),kcal,54.1,54.1,74410110
Protein (g),g,3.05,3.05,74420110
Carbohydrate (g),g,7.05,7.05,74420110
Total Fat (g),g,0.39,0.39,74420110
"Fiber, total dietary (g)",g,3.55,3.55,74420110
Energy (kcal),kcal,43.9,43.9,74420110
Protein (g),g,3.03,3.03,74506000
Carbohydrate (g),g,10.07,10.07,74506000
Total Fat (g),g,0.5,0.5,74506000
"Fiber, total dietary (g)",g,2.47,2.47,74506000
Energy (kcal),kcal,56.9,56.9,74506000
Protein (g),g,3.13,3.13,74601000
Carbohydrate (g),g,5.86,5.86,74601000
Total Fat (g),g,0.34,0.34,74601000
"Fiber, total dietary (g)",g,3.53,3.53,74601000
Energy (kcal),kcal,39.0,39.0,74601000
Protein (g),g,2.47,2.47,74601010
Carbohydrate (g),g,8.5,8.5,74601010
Total Fat (g),g,0.4,0.4,74601010
"Fiber, total dietary (g)",g,4.41,4.41,74601010
Energy (kcal),kcal,47.5,47.5,74601010
Protein (g),g,2.11,2.11,74602010
Carbohydrate (g),g,6.92,6.92,74602010
Total Fat (g),g,0.5,0.5,74602010
"Fiber, total dietary (g)",g,2.61,2.61,74602010
Energy (kcal),kcal,40.6,40.6,74602010
Protein (g),g,2.66,2.66,74602200
Carbohydrate (g),g,8.87,8.87,74602200
Total Fat (g),g,0.4,0.4,74602200
"Fiber, total dietary (g)",g,3.91,3.91,74602200
Energy (kcal),kcal,49.7,49.7,74602200
Protein (g),g,2.01,2.01,74701000
Carbohydrate (g),g,9.69,9.69,74701000
Total Fat (g),g,0.31,0.31,74701000
"Fiber, total dietary (g)",g,3.29,3.29,74701000
Energy (kcal),kcal,49.6,49.6,74701000
Protein (g),g,1.86,1.86,74701010
Carbohydrate (g),g,8.22,8.22,74701010
Total Fat (g),g,0.44,0.44,74701010
"Fiber, total dietary (g)",g,4.43,4.43,74701010
Energy (kcal),kcal,44.3,44.3,74701010
Protein (g),g,2.86,2.86,75100250
Carbohydrate (g),g,8.2,8.2,75100250
Total Fat (g),g,0.5,0.5,75100250
"Fiber, total dietary (g)",g,3.45,3.45,75100250
Energy (kcal),kcal,48.7,48.7,75100250
Protein (g),g,2.59,2.59,75100300
Carbohydrate (g),g,8.46,8.46,75100300
Total Fat (g),g,0.38,0.38,75100300
"Fiber, total dietary (g)",g,4.21,4.21,75100300
Energy (kcal),kcal,47.6,47.6,75100300
Protein (g),g,2.03,2.03,75100500
Carbohydrate (g),g,8.26,8.26,75100500
Total Fat (g),g,0.45,0.45,75100500
"Fiber, total dietary (g)",g,4.35,4.35,75100500
Energy (kcal),kcal,45.2,45.2,75100500
Protein (g),g,3.08,3.08,75100750
Carbohydrate (g),g,8.04,8.04,75100750
Total Fat (g),g,0.43,0.43,75100750
"Fiber, total dietary (g)",g,3.28,3.28,75100750
Energy (kcal),kcal,48.3,48.3,75100750
Protein (g),g,2.45,2.45,75100800
Carbohydrate (g),g,9.95,9.95,75100800
Total Fat (g),g,0.5,0.5,75100800
"Fiber, total dietary (g)",g,4.33,4.33,75100800
Energy (kcal),kcal,54.1,54.1,75100800
Protein (g),g,1.96,1.96,75101000
Carbohydrate (g),g,9.68,9.68,75101000
Total Fat (g),g,0.51,0.51,75101000
"Fiber, total dietary (g)",g,3.21,3.21,75101000
Energy (kcal),kcal,51.2,51.2,75101000
Protein (g),g,2.53,2.53,75101800
Carbohydrate (g),g,9.34,9.34,75101800
Total Fat (g),g,0.41,0.41,75101800
"Fiber, total dietary (g)",g,4.54,4.54,75101800
Energy (kcal),kcal,51.2,51.2,75101800
Protein (g),g,2.43,2.43,75102500
Carbohydrate (g),g,9.03,9.03,75102500
Total Fat (g),g,0.47,0.47,75102500
"Fiber, total dietary (g)",g,3.49,3.49,75102500
Energy (kcal),kcal,50.1,50.1,75102500
Protein (g),g,3.04,3.04,75102600
Carbohydrate (g),g,8.22,8.22,75102600
Total Fat (g),g,0.38,0.38,75102600
"Fiber, total dietary (g)",g,2.68,2.68,75102600
Energy (kcal),kcal,48.5,48.5,75102600
Protein (g),g,2.34,2.34,75102750
Carbohydrate (g),g,9.12,9.12,75102750
Total Fat (g),g,0.5,0.5,75102750
"Fiber, total dietary (g)",g,2.98,2.98,75102750
Energy (kcal),kcal,50.3,50.3,75102750
Protein (g),g,2.28,2.28,75103000
Carbohydrate (g),g,6.34,6.34,75103000
Total Fat (g),g,0.45,0.45,75103000
"Fiber, total dietary (g)",g,4.47,4.47,75103000
Energy (kcal),kcal,38.5,38.5,75103000
Protein (g),g,2.71,2.71,75104000
Carbohydrate (g),g,8.56,8.56,75104000
Total Fat (g),g,0.41,0.41,75104000
"Fiber, total dietary (g)",g,2.64,2.64,75104000
Energy (kcal),kcal,48.8,48.8,75104000
Protein (g),g,2.84,2.84,75105000
Carbohydrate (g),g,8.49,8.49,75105000
Total Fat (g),g,0.44,0.44,75105000
"Fiber, total dietary (g)",g,4.34,4.34,75105000
Energy (kcal),kcal,49.3,49.3,75105000
Protein (g),g,2.93,2.93,75105500
Carbohydrate (g),g,9.35,9.35,75105500
Total Fat (g),g,0.5,0.5,75105500
"Fiber, total dietary (g)",g,4.53,4.53,75105500
Energy (kcal),kcal,53.6,53.6,75105500
Protein (g),g,2.62,2.62,75107000
Carbohydrate (g),g,6.12,6.12,75107000
Total Fat (g),g,0.39,0.39,75107000
"Fiber, total dietary (g)",g,4.1,4.1,75107000
Energy (kcal),kcal,38.5,38.5,75107000
Protein (g),g,1.79,1.79,75109000
Carbohydrate (g),g,5.87,5.87,75109000
Total Fat (g),g,0.3,0.3,75109000
"Fiber, total dietary (g)",g,3.99,3.99,75109000
Energy (kcal),kcal,33.3,33.3,75109000
Protein (g),g,2.5,2.5,75109010
Carbohydrate (g),g,7.37,7.37,75109010
Total Fat (g),g,0.31,0.31,75109010
"Fiber, total dietary (g)",g,3.99,3.99,75109010
Energy (kcal),kcal,42.3,42.3,75109010
Protein (g),g,2.23,2.23,75109400
Carbohydrate (g),g,6.87,6.87,75109400
Total Fat (g),g,0.44,0.44,75109400
"Fiber, total dietary (g)",g,3.62,3.62,75109400
Energy (kcal),kcal,40.4,40.4,75109400
Protein (g),g,2.29,2.29,75109600
Carbohydrate (g),g,8.68,8.68,75109600
Total Fat (g),g,0.35,0.35,75109600
"Fiber, total dietary (g)",g,4.12,4.12,75109600
Energy (kcal),kcal,47.0,47.0,75109600
Protein (g),g,2.09,2.09,75111000
Carbohydrate (g),g,6.36,6.36,75111000
Total Fat (g),g,0.47,0.47,75111000
"Fiber, total dietary (g)",g,3.94,3.94,75111000
Energy (kcal),kcal,38.0,38.0,75111000
Protein (g),g,2.02,2.02,75111200
Carbohydrate (g),g,6.16,6.16,75111200
Total Fat (g),g,0.48,0.48,75111200
"Fiber, total dietary (g)",g,4.08,4.08,75111200
Energy (kcal),kcal,37.0,37.0,75111200
Protein (g),g,2.24,2.24,75111500
Carbohydrate (g),g,8.76,8.76,75111500
Total Fat (g),g,0.31,0.31,75111500
"Fiber, total dietary (g)",g,3.51,3.51,75111500
Energy (kcal),kcal,46.8,46.8,75111500
Protein (g),g,1.78,1.78,75111800
Carbohydrate (g),g,7.48,7.48,75111800
Total Fat (g),g,0.3,0.3,75111800
"Fiber, total dietary (g)",g,3.45,3.45,75111800
Energy (kcal),kcal,39.7,39.7,75111800
Protein (g),g,2.38,2.38,75112000
Carbohydrate (g),g,7.73,7.73,75112000
Total Fat (g),g,0.29,0.29,75112000
"Fiber, total dietary (g)",g,3.21,3.21,75112000
Energy (kcal),kcal,43.0,43.0,75112000
Protein (g),g,2.88,2.88,75113000
Carbohydrate (g),g,7.37,7.37,75113000
Total Fat (g),g,0.45,0.45,75113000
"Fiber, total dietary (g)",g,3.23,3.23,75113000
Energy (kcal),kcal,45.0,45.0,75113000
Protein (g),g,2.38,2.38,75113060
Carbohydrate (g),g,8.31,8.31,75113060
Total Fat (g),g,0.51,0.51,75113060
"Fiber, total dietary (g)",g,2.68,2.68,75113060
Energy (kcal),kcal,47.4,47.4,75113060
Protein (g),g,1.8,1.8,75113080
Carbohydrate (g),g,8.52,8.52,75113080
Total Fat (g),g,0.51,0.51,75113080
"Fiber, total dietary (g)",g,4.53,4.53,75113080
Energy (kcal),kcal,45.9,45.9,75113080
Protein (g),g,2.48,2.48,75114000
Carbohydrate (g),g,7.85,7.85,75114000
Total Fat (g),g,0.43,0.43,75114000
"Fiber, total dietary (g)",g,3.62,3.62,75114000
Energy (kcal),kcal,45.2,45.2,75114000
Protein (g),g,2.7,2.7,75115000
Carbohydrate (g),g,9.8,9.8,75115000
Total Fat (g),g,0.46,0.46,75115000
"Fiber, total dietary (g)",g,3.49,3.49,75115000
Energy (kcal),kcal,54.1,54.1,75115000
Protein (g),g,2.44,2.44,75117010
Carbohydrate (g),g,8.67,8.67,75117010
Total Fat (g),g,0.39,0.39,75117010
"Fiber, total dietary (g)",g,3.41,3.41,75117010
Energy (kcal),kcal,47.9,47.9,75117010
Protein (g),g,1.77,1.77,75117020
Carbohydrate (g),g,6.44,6.44,75117020
Total Fat (g),g,0.4,0.4,75117020
"Fiber, total dietary (g)",g,4.18,4.18,75117020
Energy (kcal),kcal,36.4,36.4,75117020
Protein (g),g,2.17,2.17,75119000
Carbohydrate (g),g,8.11,8.11,75119000
Total Fat (g),g,0.36,0.36,75119000
"Fiber, total dietary (g)",g,2.67,2.67,75119000
Energy (kcal),kcal,44.4,44.4,75119000
Protein (g),g,3.19,3.19,75120000
Carbohydrate (g),g,9.7,9.7,75120000
Total Fat (g),g,0.3,0.3,75120000
"Fiber, total dietary (g)",g,3.96,3.96,75120000
Energy (kcal),kcal,54.3,54.3,75120000
Protein (g),g,2.27,2.27,75121000
Carbohydrate (g),g,10.38,10.38,75121000
Total Fat (g),g,0.35,0.35,75121000
"Fiber, total dietary (g)",g,2.95,2.95,75121000
Energy (kcal),kcal,53.8,53.8,75121000
Protein (g),g,2.6,2.6,75122000
Carbohydrate (g),g,9.61,9.61,75122000
Total Fat (g),g,0.33,0.33,75122000
"Fiber, total dietary (g)",g,3.94,3.94,75122000
Energy (kcal),kcal,51.8,51.8,75122000
Protein (g),g,1.84,1.84,75122100
Carbohydrate (g),g,10.01,10.01,75122100
Total Fat (g),g,0.3,0.3,75122100
"Fiber, total dietary (g)",g,4.37,4.37,75122100
Energy (kcal),kcal,50.1,50.1,75122100
Protein (g),g,2.49,2.49,75122200
Carbohydrate (g),g,7.75,7.75,75122200
Total Fat (g),g,0.51,0.51,75122200
"Fiber, total dietary (g)",g,4.53,4.53,75122200
Energy (kcal),kcal,45.5,45.5,75122200
Protein (g),g,2.73,2.73,75124000
Carbohydrate (g),g,6.21,6.21,75124000
Total Fat (g),g,0.4,0.4,75124000
"Fiber, total dietary (g)",g,3.56,3.56,75124000
Energy (kcal),kcal,39.4,39.4,75124000
Protein (g),g,2.52,2.52,75125000
Carbohydrate (g),g,8.33,8.33,75125000
Total Fat (g),g,0.28,0.28,75125000
"Fiber, total dietary (g)",g,3.94,3.94,75125000
Energy (kcal),kcal,45.9,45.9,75125000
Protein (g),g,2.82,2.82,75127000
Carbohydrate (g),g,6.15,6.15,75127000
Total Fat (g),g,0.42,0.42,75127000
"Fiber, total dietary (g)",g,3.64,3.64,75127000
Energy (kcal),kcal,39.7,39.7,75127000
Protein (g),g,2.77,2.77,75127500
Carbohydrate (g),g,6.01,6.01,75127500
Total Fat (g),g,0.43,0.43,75127500
"Fiber, total dietary (g)",g,3.04,3.04,75127500
Energy (kcal),kcal,39.0,39.0,75127500
Protein (g),g,2.51,2.51,75127750
Carbohydrate (g),g,9.31,9.31,75127750
Total Fat (g),g,0.45,0.45,75127750
"Fiber, total dietary (g)",g,2.7,2.7,75127750
Energy (kcal),kcal,51.3,51.3,75127750
Protein (g),g,2.64,2.64,75128000
Carbohydrate (g),g,10.25,10.25,75128000
Total Fat (g),g,0.32,0.32,75128000
"Fiber, total dietary (g)",g,4.24,4.24,75128000
Energy (kcal),kcal,54.4,54.4,75128000
Protein (g),g,2.8,2.8,75128010
Carbohydrate (g),g,9.32,9.32,75128010
Total Fat (g),g,0.35,0.35,75128010
"Fiber, total dietary (g)",g,3.05,3.05,75128010
Energy (kcal),kcal,51.6,51.6,75128010
Protein (g),g,3.11,3.11,75129000
Carbohydrate (g),g,7.33,7.33,75129000
Total Fat (g),g,0.3,0.3,75129000
"Fiber, total dietary (g)",g,3.71,3.71,75129000
Energy (kcal),kcal,44.5,44.5,75129000
Protein (g),g,1.94,1.94,75132000
Carbohydrate (g),g,9.42,9.42,75132000
Total Fat (g),g,0.43,0.43,75132000
"Fiber, total dietary (g)",g,4.29,4.29,75132000
Energy (kcal),kcal,49.3,49.3,75132000
Protein (g),g,2.93,2.93,75132100
Carbohydrate (g),g,6.14,6.14,75132100
Total Fat (g),g,0.37,0.37,75132100
"Fiber, total dietary (g)",g,4.08,4.08,75132100
Energy (kcal),kcal,39.6,39.6,75132100
Protein (g),g,2.38,2.38,75140500
Carbohydrate (g),g,10.27,10.27,75140500
